orcid_id;kwd;is_focus
'0000-0003-1891-1112';'web archives';1
'0000-0002-1470-7723';'web archives';1
'0000-0002-1470-7723';'text analysis';1
'0000-0003-2827-1569';'text analysis';1
'0000-0003-4125-2813';'sound studies';1
'0000-0002-0287-7493';'sound studies';1
'0000-0002-7883-2996';'public history';1
'0000-0002-2887-3554';'public history';1
'0000-0003-4158-6186';'public history';1
'0000-0001-7629-1404';'political economy';1
'0000-0002-8174-4524';'political economy';1
'0000-0003-3184-3943';'network analysis';1
'0000-0001-5519-8331';'network analysis';1
'0000-0002-5440-062X';'literature';1
'0000-0002-3752-9536';'literature';1
'0000-0002-3752-9536';'literature';1
'0000-0001-7629-1404';'information science';1
'0000-0003-1891-1112';'information science';1
'0000-0002-4295-895X';'iberian culture';1
'0000-0002-4295-895X';'iberian culture';1
'0000-0003-0850-8266';digital humanities';1
'0000-0003-0275-5143';digital humanities';1
'0000-0001-5542-3754';'history';1
'0000-0002-2128-0641';'history';1
'0000-0003-3184-3943';'history';1
'0000-0003-4343-0265';'history';1
'0000-0001-5519-8331';'history';1
'0000-0003-1275-4101';'history';1
'0000-0002-2887-3554';'history';1
'0000-0003-4158-6186';'history';1
'0000-0001-5542-3754';'history';1
'0000-0003-0850-8266';'history';1
'0000-0002-2887-3554';'education';1
'0000-0002-2094-8216';'education';1
'0000-0002-9115-4739';'digital libraries';1
'0000-0001-5293-8322';'digital libraries';1
'0000-0003-0850-8266';'digital humanities';1
'0000-0002-1951-6942';'digital humanities';1
'0000-0003-3184-3943';'digital humanities';1
'0000-0003-3867-9138';'digital humanities';1
'0000-0003-4343-0265';'digital humanities';1
'0000-0002-5440-062X';'digital humanities';1
'0000-0002-4387-3384';'digital humanities';1
'0000-0001-9149-9377';'digital humanities';1
'0000-0001-7411-771X';'digital humanities';1
'0000-0002-7406-6286';'digital humanities';1
'0000-0003-4125-2813';'digital humanities';1
'0000-0001-5519-8331';'digital humanities';1
'0000-0002-1709-2314';'digital humanities';1
'0000-0003-1275-4101';'digital humanities';1
'0000-0002-8916-4997';'digital humanities';1
'0000-0002-1456-7812';'digital humanities';1
'0000-0001-5293-8322';'digital humanities';1
'0000-0003-4158-6186';'digital humanities';1
'0000-0002-1367-1618';'digital humanities';1
'0000-0001-6959-6605';'digital humanities';1
'0000-0002-1637-8505';'digital humanities';1
'0000-0002-4295-895X';'digital humanities';1
'0000-0002-6678-7606';'digital humanities';1
'0000-0003-2740-7831';'digital humanities';1
'0000-0002-8997-5415';'digital humanities';1
'0000-0003-2852-065X';'digital humanities';1
'0000-0002-0237-2532';'digital history';1
'0000-0003-3184-3943';'digital history';1
'0000-0002-1470-7723';'digital history';1
'0000-0003-4343-0265';'digital history';1
'0000-0002-7883-2996';'digital history';1
'0000-0002-6051-6274';'digital history';1
'0000-0001-5519-8331';'digital history';1
'0000-0003-1275-4101';'digital history';1
'0000-0003-4158-6186';'digital history';1
'0000-0002-1367-1618';'digital history';1
'0000-0002-2094-8216';'digital history';1
'0000-0002-0237-2532';'contemporary history';1
'0000-0001-7411-771X';'contemporary history';1
'0000-0003-3867-9138';'book history';1
'0000-0002-1456-7812';'book history';1
'0000-0001-5759-4944';'archaeology';1
'0000-0002-2887-3554';'archaeology';1
'0000-0001-5542-3754';'18th century';1
'0000-0001-6741-6746';'18th century';1
