Id;Label;size
1;Hugo Bonin;1
2;Sofia Papastamkou;17
3;Antoine Champigny;1
4;François Dominic Laramée;16
5;Nicolas Frerebeau;1
6;Brice Lebrun;1
7;Guillaume Florent;1
8;Lizzie Scholtus;1
9;Marie-Anne Vibet;1
10;Alix Chagué;3
11;Thomas Soubiran;2
12;Sylvain Machefert;3
13;Frédéric Clavert;2
14;Déborah Dubald;1
15;Catherine Paulin;1
16;Carla Amaya;1
17;Célian Ringwald;2
18;Cyrille Suire;1
19;Antoine Gourlay;1
20;Gwenaëlle Patat;1
21;Floriane Chiffoleau;1
22;Jean-Luc Mirepoix;1
23;Lucas Terriel;1
24;Marie-Christine Boucher;5
25;Matthias Gille Levenson;1
26;Alexandre Bartz;1
27;Géraldine Castel;1
28;Antoine Courtin;1
29;Vincent Paillusson;1
30;Manon Durier;1
31;Morgane Pica;1
32;Viera Rebolledo-Dhuin;1
33;Antoine Henry;2
34;Isabelle Gribomont;1
35;Fanny Mézard;1
36;Anastasiia Zadykhina;1
37;Marie Puren;2
38;Camille Carette;1
39;Florian Cafiero;1
40;Sybille Clochet;1
41;Anne-Sophie Bessero-Lagarde;1
42;Martin Grandjean;1
43;Arthur Perret;1
44;Matthew J. Lavin;1
45;Quinn Dombrowski;2
46;Catherine Nygren;1
47;Zoe LeBlanc;3
48;Kellen Kurschinski;1
49;Nick Ruest;3
50;Konrad Lawson;1
51;Ian Milligan;14
52;Aurélien Berra;1
53;Adam Crymble;63
54;Taylor Arnold;4
55;Lauren Tilton;3
56;Brandon Walsh;11
57;John Russell;2
58;Jeri Wieringa;5
59;Brad Rittenhouse;1
60;Ximin Mi;1
61;Courtney Allen;1
62;Telmo Menezes;1
63;Ed Summers;1
64;James Baker;6
65;Amanda Visconti;3
66;Paige Morgan;1
67;Jamie Howe;1
68;Fred Gibbs;12
69;Seth van Hooland;1
70;Ruben Verborgh;1
71;Max De Wilde;1
72;Patrick Burns;3
73;Nora McGregor;1
74;Laura Turner O'Hara;1
75;Thomas Jurczyk;1
76;Melanie Walsh;1
77;Luling Huang;1
78;Alex Wermer-Colan;1
79;William J. Turkel;20
80;Jim Clifford;22
81;Miriam Posner;19
82;Scholars' Lab Community;1
83;Jesse Sadler;2
84;M. Willis Monroe;1
85;Jessica Parr;4
86;John R. Ladd;2
87;Sarah Connell;1
88;Heather Froehlich;1
89;Nabeel Siddiqui;2
90;Rob Sieczkiewicz;1
91;Ryan Deschamps;6
92;Sandra van Ginhoven;1
93;Matthew Lincoln;4
94;Frederik Elwert;10
95;Megan R. Brett;1
96;Sheila Brennan;1
97;Patrick Smyth;1
98;Megan Kudzia;2
99;Jacob W. Greene;1
100;Brenta Blevins;1
101;Jason Crider;1
102;Sean Morey;1
103;Anandi Silva Knuppel;3
104;Marten Düring;1
105;Ryan Cordell;1
106;Justin Larsen;1
107;Halle Burns;1
108;Brandon Locke;1
109;Caleb McDaniel;2
110;Jon MacKay;1
111;Matteo Romanello;1
112;Simon Hengchen;1
113;Ryan Muther;1
114;Marco Büchler;1
115;Anna-Maria Sichani;5
116;Luke Bergmann;1
117;Sharon Howard;2
118;Joanna Swafford;1
119;Celeste Tường Vy Sharpe;1
120;Jessica Otis;1
121;Christopher N. Warren;1
122;Scott Weingart;2
123;Elisa Beshero-Bondar;1
124;Anne Chao;1
125;Qiwei Li;1
126;Stephen Krewson;1
127;Catherine DeRose;3
128;Guy McClellan;1
129;Amanda Morton;7
130;Evan Peter Williamson;1
131;Peggy Griesinger;1
132;Lisa Lowry;1
133;Susan Grunewald;1
134;Andrew Janco;1
135;Eleni Gadolou;1
136;Randa El Khatib;1
137;Jon Crump;1
138;Brandon Hawk;1
139;Justin Colson;1
140;Adam Dennett;1
141;Léon Robichaud;1
142;Beatrice Alex;1
143;Anouk Lang;1
144;Sarah Simpkin;4
145;Josh MacFadyen;4
146;Daniel Macfarlane;4
147;Finn Arne Jørgensen;4
148;Peter Webster;2
149;Abby Schreiber;2
150;Eric Weinberg;1
151;John Fink;2
152;Nancy Lemay;1
153;Jeff Blackadar;1
154;Simon Appleford;1
155;Oliver Duke-Williams;1
156;Sylvia Fernández Quintanilla;1
157;Jonathan Reeve;1
158;M. H. Beals;4
159;Ben Hurwitz;1
160;Gabi Kirilloff;1
161;Brandee Easter;1
162;Shawn Graham;6
163;Allison Hegel;2
164;Charlotte Tupman;1
165;Jonathan Blaney;2
166;Terhi Nurmikko-Fuller;1
167;Ted Dawson;1
168;Erin N. Bush;2
169;Derek Price;1
170;Lee Skallerup Bessette;1
171;Dave Rodriguez;2
172;Tesla Cariani;1
173;Josh Romphf;1
174;Go Sugimoto;1
175;Amber Stubbs;1
176;Brianna Allen;1
177;Folgert Karsdorp;1
178;Jan Rybicki;1
179;Antonio Rojas Castro;46
180;Tassie Gniady;1
181;David Kloster;1
182;Kim Pham;1
183;Vilja Hulden;1
184;Francesca Benatti;1
185;Andrew Akhlaghi;1
186;Clemens Neudecker;1
187;Gustavo Candela;2
188;Jane Winters;1
189;Taryn Dewar;1
190;"Zo&#235; Wilkinson Salda&#241;a";1
191;Puteri Zarina Megat Khalid;1
192;Jeff Veitch;1
193;Tim Compeau;1
194;Dennis Tenen;1
195;Grant Wythoff;1
196;Alex Brey;1
197;Peter Organisciak;1
198;Boris Capitanu;1
199;Stéfan Sinclair;1
200;Alan MacEachern;1
201;Tessa C Hauswedell;1
202;Seth Bernstein;1
203;Michelle Moravec;1
204;Ezra Brooks;1
205;Russell Alleen-Willems;1
206;Doug Knox;1
207;Dave Shepard;1
208;Stephanie J. Richmond;1
209;Tommy Tavenner;1
210;Jason Heppler;1
211;Charlie Harper;1
212;Ben Schmidt;1
213;Moritz Mähr;1
214;Jack Pay;1
215;Caio Mello;1
216;Josir Cardoso Gomes;3
217;Bruno Ponne;1
218;Ian Araujo;4
219;Diana Rebelo Rodriguez;4
220;Jimmy Medeiros;10
221;Ana Giulia Aldgeire;2
222;Rafael Laguardia;1
223;Joana Vieira Paulino;6
224;Luis Ferla;1
225;Ana Alcântara;1
226;Felipe Lamarca;7
227;Daniel Bonatto Seco;2
228;Ana Carolina Erthal;1
229;Gabriela Kucuruza;3
230;Daniel Alves;3
231;Danielle Sanches;7
232;Bruno Gasparotto Ponne;1
233;Josir C. Gomes;4
234;Bruno Martins;7
235;Renato Rocha Souza;5
236;João Gilberto Neves Saraiva;1
237;Ângela Pité;1
238;Rômulo Predes;3
239;Mariana Affonso Penna;1
240;Aracele Torres;2
241;Ivo Veiga;2
242;Romulo Predes;1
243;Márcia T. Cavalcanti;1
244;Maria Guedes;2
245;Elizabeth Freire;1
246;Suemi Higuchi;1
247;Samuel Van Ransbeeck;1
248;Juliana Marques da Silva;1
249;Jennifer Isasi;19
250;Victor Gayol;4
251;Riva Quiroga;7
252;Carlos Manuel Varón Castañeda;1
253;Basthian Medina;2
254;José Antonio Motilla;10
255;Silvia Gutiérrez;2
256;Maria José Afanador-Llach;32
257;Gabriela Elgarrista;1
258;Antonio Sánchez-Padial;2
259;Silvia Gutiérrez De la Torre;2
260;Daniela Ávido;1
261;Jairo Antonio Melo Flórez;1
262;María José Afanador-Llach;1
263;Víctor Gayol;28
264;Jairo A. Melo;20
265;Armando Luza;1
266;Ignacio Rodríguez;1
267;María José Cabra Montes;1
268;Joseba Moreno;2
269;Juan Camilo Murcia;1
270;Joshua Ortiz-Baco;1
271;Lorena Campuzano;1
272;Jairo Melo;1
273;Camilo Murcia Galindo;1
274;José Calvo Tello;1
275;Andrés Gattinoni;1
276;Antonio Jesús Sánchez Padial;1
277;Sebastian Fiori;1
278;Joshua G. Ortiz Baco;4
279;Adriana Cásarez;1
280;Juan Cobo;1
281;Nicolás Vaughan;2
282;Rocío Méndez;1
283;Iñaki Cano;1
284;David Merino Recalde;1
285;Rosa María Muñoz Mendo;1
286;María-Jesús Colmenero-Ruiz;2
287;Maria Jose Afanador;1
288;Anthony Picón Rodríguez;1
289;Miguel Cuadros;1
290;José Luis Losada;1
291;Luisina Silva;1
292;Carlos Loz;1
293;Alicia Calvo;1
294;Gabriel Calarco;2
295;Gimena del Río Riande;1
296;Melissa Jerome;1
297;Aldo Barriente;1
298;María Dolores Sáez;1
299;María Pilar Escobar;1
300;Manuel Marco Such;1
301;HD CAICYT Lab team;1
302;Gimena del Rio Riande;1
303;Nidia Hernández;1
304;Romina De León;1
305;Raffaele Viglianti;1
306;Kahlila Chaar-Pérez;1
307;Mathilda Shepard;1
308;Ulrike Henny-Krahmer;1
309;Pedro Carrillo;1
310;Marcelo Raimundo;1
